metric,comparison,n_folds,mean_diff,ci95_lo,ci95_hi,ci_excludes_zero,perm_p
ROC_AUC,AEF_sameyear+Stack - AEF_sameyear,10,0.0327,0.0177,0.0457,True,0.0059
ROC_AUC,AEF_sameyear+Stack - Stack,10,0.0454,0.0331,0.0593,True,0.002
PR_AUC,AEF_sameyear+Stack - AEF_sameyear,10,0.0274,0.0072,0.0441,True,0.0312
PR_AUC,AEF_sameyear+Stack - Stack,10,0.0822,0.0615,0.104,True,0.002
