site_id,lon,lat,block_id,OC_gkg
42522920,9.049762919512675,49.38888024748503,4,17.1
44062954,11.177961659120236,49.69251081351742,9,12.2
43443018,10.322585845581628,50.27372080234275,9,14.8
44062810,11.147418939460172,48.39749949993072,3,14.4
45903358,14.033346621222549,53.262864910250464,0,12.7
42142970,8.512839874194439,49.832827660896896,6,12.5
42303034,8.719811715655577,50.41080371469939,1,18.6
42783118,9.385193846602906,51.171497097291805,1,12.7
46043364,14.248133805655524,53.30948747349626,0,13.7
43663254,10.661071044637865,52.393565209808,5,9.7
43303228,10.131514184649404,52.16171003497675,5,13.8
41783204,7.920850101959675,51.92778873499203,2,10.5
42583236,9.07788018790562,52.23007182809825,2,12.8
42643158,9.178581331255415,51.52974523259867,1,15.8
41323026,7.346018151651592,50.315312799997486,6,8.2
41902954,8.18477513243399,49.68415648137511,6,20.8
44143154,11.339029589562866,51.489051550228055,9,16.6
44483176,11.836336930851433,51.680033379631865,9,19.1
42362906,8.832460452284165,49.2609601510264,4,18.1
44342874,11.54303699058641,48.9685585260455,3,14.0
44502938,11.782258350747435,49.540695530501225,3,20.6
44842892,12.232763465733376,49.1188466730787,3,22.0
43822800,10.822049143552082,48.31045274889954,4,29.6
43882828,10.907389095543436,48.56171153386777,3,54.7
44843230,12.382153297482454,52.15578115410156,7,5.3
42343028,8.777483556896051,50.35753361835111,1,16.9
45383374,13.265646379414004,53.42986172156828,0,6.0
42503366,8.932712437991905,53.39725287675474,8,17.9
44123180,11.317020865101938,51.72297285021278,9,15.0
44523360,11.96641298399194,53.33203518712767,7,17.7
42863378,9.472510092219323,53.50864397198556,8,22.3
44643268,12.106190842200938,52.50262068530011,7,10.1
45002758,12.393561901590772,47.909534637597,3,22.7
42003184,8.247567370793945,51.753246075287606,2,14.3
42762760,9.397860092108992,47.95193511900744,4,14.4
42962776,9.66456989996408,48.09701303739274,4,13.7
43002766,9.718738311596486,48.00718150898079,4,13.2
43222748,10.013385724787687,47.845574589367686,4,18.8
45222812,12.713451974265734,48.38824685250429,3,17.0
45422842,12.999206066144154,48.65091424158084,3,14.3
