R2,RMSE,MAE,feature_set,fold,n_test,block_id
0.47134744522214944,0.5145620686056794,0.38482507475963074,AEF,0,123,1
0.23732205944372986,0.7011808786367415,0.4731281927901222,AEF,1,102,2
0.3211678117707044,0.6638261057281399,0.5103845209120675,AEF,2,92,7
0.47385484240691256,0.4077417076847918,0.32575178933861704,AEF,3,88,4
0.46046817527293926,0.4418299581830921,0.35103271340496317,AEF,4,76,3
0.34820726858963225,0.6348650970808811,0.4568903431819827,AEF,5,68,5
0.6198465561888187,0.41980942871396587,0.30657806943776433,AEF,6,62,6
-0.0008718852969582525,0.6397963078843065,0.5040475447301765,AEF,7,57,0
0.27695697539779474,0.4183167885677799,0.3363429172069894,AEF,8,55,9
0.46844262713163376,0.6343948081786261,0.4629516091010163,AEF,9,49,8
0.33304119895821904,0.5779657523968805,0.43590468200302906,Stack,0,123,1
0.21076630597720458,0.713283668835517,0.4882878077427323,Stack,1,102,2
0.21725510895549593,0.7128255122172668,0.5574908010588803,Stack,2,92,7
0.32280014367857945,0.4625841811751003,0.37291284665260116,Stack,3,88,4
0.19550263082418895,0.539521729006907,0.46404400612937574,Stack,4,76,3
0.27592211797097743,0.6691436112418793,0.45350303578374945,Stack,5,68,5
0.4735383914144593,0.4940331336792676,0.36358456512808657,Stack,6,62,6
0.25136868675748125,0.5533328816538542,0.4500707826023382,Stack,7,57,0
-0.15798780691629588,0.5293893713377503,0.440941336633865,Stack,8,55,9
0.1817370420040687,0.7871019578976924,0.6734615356094394,Stack,9,49,8
0.45250290082084654,0.5236528990647671,0.39623281407631333,AEF+Stack,0,123,1
0.2843481198894524,0.6792198662889843,0.454059311420188,AEF+Stack,1,102,2
0.3513923549731478,0.648879637317114,0.5031929874343903,AEF+Stack,2,92,7
0.46650980869690317,0.4105778990709257,0.32864712956135395,AEF+Stack,3,88,4
0.47291067797091035,0.43670557420196887,0.35290327972570185,AEF+Stack,4,76,3
0.34343495780701383,0.637185043090486,0.45070846912914436,AEF+Stack,5,68,5
0.6320941195232136,0.4129914764988496,0.29730188876327873,AEF+Stack,6,62,6
0.1095646741876477,0.6034672070973265,0.4791102816509998,AEF+Stack,7,57,0
0.14734305750175758,0.45426616508181106,0.36110969639716906,AEF+Stack,8,55,9
0.45373598854977126,0.6431108574913036,0.4997027148186004,AEF+Stack,9,49,8
